Ticker,Fund Name,Date,NAV
SPY,SPDR S&P 500 ETF,2024-08-02 00:00:00-04:00,526.34
SPY,SPDR S&P 500 ETF,2024-08-05 00:00:00-04:00,511.02
SPY,SPDR S&P 500 ETF,2024-08-06 00:00:00-04:00,515.73
SPY,SPDR S&P 500 ETF,2024-08-07 00:00:00-04:00,512.28
SPY,SPDR S&P 500 ETF,2024-08-08 00:00:00-04:00,524.12
SPY,SPDR S&P 500 ETF,2024-08-09 00:00:00-04:00,526.43
SPY,SPDR S&P 500 ETF,2024-08-12 00:00:00-04:00,526.71
SPY,SPDR S&P 500 ETF,2024-08-13 00:00:00-04:00,535.37
SPY,SPDR S&P 500 ETF,2024-08-14 00:00:00-04:00,537.06
SPY,SPDR S&P 500 ETF,2024-08-15 00:00:00-04:00,546.27
SPY,SPDR S&P 500 ETF,2024-08-16 00:00:00-04:00,547.49
SPY,SPDR S&P 500 ETF,2024-08-19 00:00:00-04:00,552.73
SPY,SPDR S&P 500 ETF,2024-08-20 00:00:00-04:00,551.83
SPY,SPDR S&P 500 ETF,2024-08-21 00:00:00-04:00,553.72
SPY,SPDR S&P 500 ETF,2024-08-22 00:00:00-04:00,549.38
SPY,SPDR S&P 500 ETF,2024-08-23 00:00:00-04:00,555.21
SPY,SPDR S&P 500 ETF,2024-08-26 00:00:00-04:00,553.89
SPY,SPDR S&P 500 ETF,2024-08-27 00:00:00-04:00,554.65
SPY,SPDR S&P 500 ETF,2024-08-28 00:00:00-04:00,551.43
SPY,SPDR S&P 500 ETF,2024-08-29 00:00:00-04:00,551.48
SPY,SPDR S&P 500 ETF,2024-08-30 00:00:00-04:00,556.75
SPY,SPDR S&P 500 ETF,2024-09-03 00:00:00-04:00,545.29
SPY,SPDR S&P 500 ETF,2024-09-04 00:00:00-04:00,544.17
SPY,SPDR S&P 500 ETF,2024-09-05 00:00:00-04:00,542.85
SPY,SPDR S&P 500 ETF,2024-09-06 00:00:00-04:00,533.71
SPY,SPDR S&P 500 ETF,2024-09-09 00:00:00-04:00,539.69
SPY,SPDR S&P 500 ETF,2024-09-10 00:00:00-04:00,542.04
SPY,SPDR S&P 500 ETF,2024-09-11 00:00:00-04:00,547.60
SPY,SPDR S&P 500 ETF,2024-09-12 00:00:00-04:00,552.21
SPY,SPDR S&P 500 ETF,2024-09-13 00:00:00-04:00,555.10
SPY,SPDR S&P 500 ETF,2024-09-16 00:00:00-04:00,555.92
SPY,SPDR S&P 500 ETF,2024-09-17 00:00:00-04:00,556.14
SPY,SPDR S&P 500 ETF,2024-09-18 00:00:00-04:00,554.49
SPY,SPDR S&P 500 ETF,2024-09-19 00:00:00-04:00,563.96
SPY,SPDR S&P 500 ETF,2024-09-20 00:00:00-04:00,562.98
SPY,SPDR S&P 500 ETF,2024-09-23 00:00:00-04:00,564.39
SPY,SPDR S&P 500 ETF,2024-09-24 00:00:00-04:00,566.00
SPY,SPDR S&P 500 ETF,2024-09-25 00:00:00-04:00,564.75
SPY,SPDR S&P 500 ETF,2024-09-26 00:00:00-04:00,566.99
SPY,SPDR S&P 500 ETF,2024-09-27 00:00:00-04:00,566.17
SPY,SPDR S&P 500 ETF,2024-09-30 00:00:00-04:00,568.44
SPY,SPDR S&P 500 ETF,2024-10-01 00:00:00-04:00,563.35
SPY,SPDR S&P 500 ETF,2024-10-02 00:00:00-04:00,563.59
SPY,SPDR S&P 500 ETF,2024-10-03 00:00:00-04:00,562.55
SPY,SPDR S&P 500 ETF,2024-10-04 00:00:00-04:00,567.67
SPY,SPDR S&P 500 ETF,2024-10-07 00:00:00-04:00,562.54
SPY,SPDR S&P 500 ETF,2024-10-08 00:00:00-04:00,567.86
SPY,SPDR S&P 500 ETF,2024-10-09 00:00:00-04:00,571.79
SPY,SPDR S&P 500 ETF,2024-10-10 00:00:00-04:00,570.79
SPY,SPDR S&P 500 ETF,2024-10-11 00:00:00-04:00,574.21
SPY,SPDR S&P 500 ETF,2024-10-14 00:00:00-04:00,578.90
SPY,SPDR S&P 500 ETF,2024-10-15 00:00:00-04:00,574.40
